,price,type,address,postcode,number_bedrooms,lat,lng,formatted_address
11990,1250000,2 bedroom flat for sale,"Chelsea Creek, Chelsea Creek, London, SW6",SW6,2.0,51.4740299,-0.1837785,"5 Imperial Rd, London SW6 2FB, UK"
11991,1250000,4 bedroom terraced house for sale,"Overhill Road, East Dulwich, London, SE22",SE22,4.0,51.4473491,-0.0659538,"Overhill Rd, London SE22, UK"
11992,1250000,1 bedroom apartment for sale,"Gasholders, 1 Lewis Cubitt Square, N1C",N1C,1.0,51.53665729999999,-0.1269392,"1 Lewis Cubitt Square, London N1C 4BY, UK"
11993,1250000,2 bedroom apartment for sale,"Elsham Road, London, UK, W14",W14,2.0,51.5012479,-0.2129519,"Elsham Rd, London W14, UK"
11994,1250000,3 bedroom flat for sale,"Wandle Road, Wandsworth Common, London, SW17",SW17,3.0,51.4406298,-0.1671031,"Wandle Rd, London SW17, UK"
11995,1250000,2 bedroom apartment for sale,"Collingham Place, London, SW5",SW5,2.0,51.4940138,-0.1893911,"Collingham Pl, London SW5, UK"
11996,1250000,6 bedroom semi-detached house for sale,"Hertford Road, East Finchley, London, N2",N2,6.0,51.593056,-0.1649685,"Hertford Rd, London N2, UK"
11997,1250000,2 bedroom apartment for sale,"Tierney Lane, Fulham Reach, Hammersmith, London, W6",W6,2.0,51.4874406,-0.226434,"Distillery Wharf, Parr's Wy., London W6 9RU, UK"
11998,1250000,2 bedroom flat for sale,"Redcliffe Street,  Chelsea, London, SW10",SW10,2.0,51.4862851,-0.1882902,"Redcliffe St, London SW10, UK"
11999,1250000,2 bedroom apartment for sale,"St. James Close, Prince Albert Road, St. John's Wood, London, NW8",NW8,2.0,51.53589059999999,-0.1610698,"Prince Albert Rd & St James's Cl, London NW8 7LX, UK"
12000,1250000,6 bedroom terraced house for sale,"Alpha Road, London, SE14",SE14,6.0,51.4746362,-0.0307469,"Alpha Rd, London SE14, UK"
12001,1250000,1 bedroom flat for sale,"Weymouth Street, Marylebone, London, W1W",W1W,1.0,51.5205035,-0.1481172,"Weymouth St, London, UK"
12002,1250000,5 bedroom end of terrace house for sale,"Hertford Road, De Beauvior, Islington, N1",N1,5.0,51.53729,-0.079247,"Hertford Rd, London N1, UK"
12003,1250000,3 bedroom flat for sale,"Penywern Road, Earls Court, London, SW5",SW5,3.0,51.4908008,-0.1937046,"Penywern Rd, London SW5, UK"
12004,1250000,3 bedroom end of terrace house for sale,"Whistlers Avenue, Morgans Walk, London, SW11",SW11,3.0,51.4788046,-0.171451,"22 Battersea Church Rd, London SW11 3NA, UK"
12005,1250000,4 bedroom detached house for sale,"Acton Lane, London, NW10",NW10,4.0,51.5347489,-0.2592019,"Acton Ln, London NW10, UK"
12006,1250000,2 bedroom apartment for sale,"Sussex Gardens, London, W2",W2,2.0,51.515564,-0.1719922,"Sussex Gardens, London W2, UK"
12007,1250000,3 bedroom end of terrace house for sale,"Branksea Street, Fulham, London, SW6",SW6,3.0,51.4785054,-0.2149753,"Branksea St, London SW6, UK"
12008,1250000,3 bedroom flat for sale,"Ensign House, Juniper Drive, London, SW18",SW18,3.0,51.4640344,-0.1847941,"Juniper Dr, London SW18, UK"
12009,1250000,2 bedroom flat for sale,"Exeter Road, Brondesbury Park, London, NW2",NW2,2.0,51.549274,-0.2088716,"Exeter Rd, London NW2, UK"
12010,1250000,2 bedroom apartment for sale,"One Tower Bridge, Earls Way, SE1",SE1,2.0,51.5035386,-0.0770073,"Tower Bridge Rd, Tower Bridge, London SE1 2AA, UK"
12011,1250000,2 bedroom apartment for sale,"Bassett Road, Ladbroke Grove, London, W10",W10,2.0,51.5195393,-0.211274,"Ladbroke Grove & Bassett Rd, London W10 6HQ, UK"
12012,1150000,4 bedroom terraced house for sale,"Wallbutton Road, Telegraph Hill, SE4",SE4,4.0,51.4671871,-0.0410142,"Wallbutton Rd, London SE4, UK"
12013,1250000,2 bedroom flat for sale,"Lancaster Gate, Lancaster Gate, London, W2",W2,2.0,51.5115786,-0.1802482,"Lancaster Gate, London W2, UK"
12014,1250000,2 bedroom apartment for sale,"Elm Quay Court, Nine Elms Lane, London, SW8",SW8,2.0,51.4831914,-0.1340259,"Elm Quay Court, Nine Elms Ln, Nine Elms, London SW8 5DE, UK"
12015,1250000,1 bedroom apartment for sale,"Hatton Place, London, EC1N",EC1N,1.0,51.521298,-0.1078509,"Hatton Pl, London EC1N, UK"
12016,1250000,3 bedroom apartment for sale,"Westbourne Terrace, London, W2",W2,3.0,51.5156853,-0.179441,"Westbourne Terrace, London W2, UK"
12017,1250000,1 bedroom flat for sale,"Richards Place, London, SW3",SW3,1.0,51.4945072,-0.1658407,"Richard's Pl, London SW3, UK"
12018,1250000,2 bedroom flat for sale,"Central Avenue, Fulham, London, SW6",SW6,2.0,51.4675876,-0.1858832,"Central Ave, London SW6, UK"
12019,1250000,2 bedroom flat for sale,"3 Canalside Walk, Paddington, London, W2",W2,2.0,51.5185651,-0.1771205,"55 N Wharf Rd, London W2 1GT, UK"
12020,1250000,3 bedroom flat for sale,"Finborough Road, SW10",SW10,3.0,51.48576,-0.1885852,"Finborough Rd, London SW10, UK"
12021,1250000,2 bedroom apartment for sale,"Royal Herbert Pavilions, Gilbert Close, Greenwich, SE18",SE18,2.0,51.470854,0.05288590000000001,"Flat 1A, Mennie House, Gilbert Cl, London SE18 4PR, UK"
12022,1250000,4 bedroom end of terrace house for sale,"West Gardens, London, E1W",E1W,4.0,51.5094032,-0.0555924,"West Gardens, London E1W, UK"
12023,1250000,2 bedroom flat for sale,"Cranley Gardens, South Kensington, London, SW7",SW7,2.0,51.4897558,-0.1788498,"Cranley Gardens, South Kensington, London SW7, UK"
12024,1250000,1 bedroom apartment for sale,"Palace Gardens Terrace, London, W8",W8,1.0,51.5075619,-0.1932217,"Palace Gardens Terrace, London W8, UK"
12025,1250000,2 bedroom flat for sale,"Porchester Terrace North, London, W2",W2,2.0,51.5171584,-0.1862909,"Porchester Terrace N, London W2, UK"
12026,1250000,4 bedroom town house for sale,"Maurice Brown Avenue, Mill Hill East, NW7 1BZ",NW7,4.0,51.612692,-0.2067755,"Maurice Browne Ave, London NW7 1BZ, UK"
12027,1250000,2 bedroom flat for sale,"Cornwall Gardens, SW7",SW7,2.0,51.4967053,-0.1867564,"Cornwall Gardens, London SW7, UK"
12028,1250000,3 bedroom house for sale,"Battersea Church Road, Battersea, London, SW11",SW11,3.0,51.4774897,-0.1738658,"Battersea Church Rd, London SW11, UK"
12029,1250000,3 bedroom penthouse for sale,"Ares Court, Homer Drive, Isle Of Dogs, London, E14",E14,3.0,51.4911985,-0.0250265,"Ares Court, Parking lot, Homer Dr, London E14 3UL, UK"
12030,1250000,4 bedroom semi-detached house for sale,"Forest Hill Road, London, SE22",SE22,4.0,51.4513326,-0.0589445,"Forest Hill Rd, London SE22, UK"
12031,1200000,4 bedroom end of terrace house for sale,"Woodland Road, London, SE19",SE19,4.0,51.4218655,-0.0808641,"Woodland Rd, London SE19, UK"
12032,1250000,3 bedroom apartment for sale,"Norton Lees Mansions, 63 Woodside Avenue, Muswell Hill, London, N10",N10,3.0,51.5870493,-0.1479272,"63 Woodside Ave, London N10 3JA, UK"
12033,1250000,2 bedroom terraced house for sale,"Linden Gardens, London, W2",W2,2.0,51.5101695,-0.1943598,"Linden Gardens, London W2, UK"
12034,1250000,2 bedroom flat for sale,"Elvaston Place, London, SW7",SW7,2.0,51.4977973,-0.1816429,"Elvaston Pl, South Kensington, London SW7, UK"
12035,1250000,2 bedroom flat for sale,"Park Hill, Ealing, London, W5",W5,2.0,51.5216217,-0.3010211,"Park Hill, London W5, UK"
12036,1250000,3 bedroom terraced house for sale,"Sherbrooke Road, London, SW6",SW6,3.0,51.4804637,-0.2087305,"Sherbrooke Rd, London SW6, UK"
