,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date
871,155000.0,2 bedroom flat for sale,"Finlay Drive, Dennistoun, Glasgow, G31",http://www.rightmove.co.uk/properties/123986810#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Movewise-Estate-Agents/Paisley-246461.html,G31,,2.0,2022-06-29 07:22:53.795003
872,155000.0,1 bedroom flat for sale,"Bedford Street, Glasgow",http://www.rightmove.co.uk/properties/123073142#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Shawlands-13751.html,,,1.0,2022-06-29 07:22:53.795003
873,155000.0,1 bedroom flat for sale,"Bellwood Street, Flat 0/1, Shawlands, Glasgow, G41 3EX",http://www.rightmove.co.uk/properties/124144928#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harbor-Property/Baillieston-137948.html,G41,G41 3EX,1.0,2022-06-29 07:22:53.795003
874,155000.0,2 bedroom flat for sale,"37 Whitehill Place,  Glasgow, G31",http://www.rightmove.co.uk/properties/121162376#/?channel=RES_BUY,,G31,,2.0,2022-06-29 07:22:53.795003
875,239000.0,3 bedroom terraced house for sale,"Ledi Drive, Bearsden, Glasgow",http://www.rightmove.co.uk/properties/124240328#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Bearsden-55557.html,,,3.0,2022-06-29 07:22:53.795003
876,155000.0,2 bedroom flat for sale,"37 Whitehill Place,  Glasgow, G31",http://www.rightmove.co.uk/properties/121162376#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harbor-Property/Baillieston-137948.html,G31,,2.0,2022-06-29 07:22:53.795003
877,155000.0,1 bedroom flat for sale,"8 Dundrennan Road, Langside, Glasgow, G42 9SD",http://www.rightmove.co.uk/properties/124281470#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Scottish-Property-Centre/Shawlands-16827.html,G42,G42 9SD,1.0,2022-06-29 07:22:53.795003
878,155000.0,2 bedroom terraced house for sale,"Elmore Avenue, Glasgow",http://www.rightmove.co.uk/properties/124364669#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Shawlands-176243.html,,,2.0,2022-06-29 07:22:53.795003
879,155000.0,2 bedroom flat for sale,"Roslea Drive, Dennistoun, Glasgow, G31",http://www.rightmove.co.uk/properties/123952877#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Dennistoun-489.html,G31,,2.0,2022-06-29 07:22:53.795003
880,155000.0,4 bedroom flat for sale,"34 Lochburn Gate, Glasgow, G20",http://www.rightmove.co.uk/properties/117356198#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Aberdein-Considine/Byres-Road-155576.html,G20,,4.0,2022-06-29 07:22:53.795003
881,155000.0,2 bedroom terraced house for sale,"Pollock Road, Newton Mearns, East Renfrewshire, G77",http://www.rightmove.co.uk/properties/124414214#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Clarkston-Glasgow-4849.html,G77,,2.0,2022-06-29 07:22:53.795003
882,155000.0,2 bedroom terraced house for sale,"Spey Road, Bearsden, Glasgow, G61",http://www.rightmove.co.uk/properties/96620125#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Bearsden-Glasgow-4799.html,G61,,2.0,2022-06-29 07:22:53.795003
883,154995.0,3 bedroom semi-detached house for sale,"Parkfield, East Kilbride",http://www.rightmove.co.uk/properties/123512939#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Igloo/Hamilton-37665.html,,,3.0,2022-06-29 07:22:53.795003
884,154995.0,2 bedroom villa for sale,"4 Kingsbridge Park Gardens, Kings Park, Glasgow, G44 4JG",http://www.rightmove.co.uk/properties/123946988#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pacitti-Jones/Shawlands-73070.html,G44,G44 4JG,2.0,2022-06-29 07:22:53.795003
885,154995.0,3 bedroom terraced house for sale,"Laidlaw Gardens, Uddingston",http://www.rightmove.co.uk/properties/123210935#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/HomeLink-Independent-Estate-Agents/Coatbridge-37100.html,,,3.0,2022-06-29 07:22:53.795003
886,153500.0,2 bedroom apartment for sale,"133 Shuna Street, Glasgow, G20",http://www.rightmove.co.uk/properties/124392164#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Glasgow-202916.html,G20,,2.0,2022-06-29 07:22:53.795003
887,152500.0,2 bedroom park home for sale,"Heatherbank Park, Fereneze Road, Shillford, Glasgow, East Renfrewshire",http://www.rightmove.co.uk/properties/119764946#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sell-My-Group/Lytham-233729.html,,,2.0,2022-06-29 07:22:53.795003
